Metric,Year and Month,Statistical value
Average Monthly Regular Working Hours(hours),2010 MAY,173.2
Average Monthly Regular Working Hours(hours),2010 JUN,172.5
Average Monthly Regular Working Hours(hours),2010 JUL,179.4
Average Monthly Regular Working Hours(hours),2010 AUG,178.6
Average Monthly Regular Working Hours(hours),2010 SEP,171.5
Average Monthly Regular Working Hours(hours),2010 OCT,173
Average Monthly Regular Working Hours(hours),2010 NOV,176.8
Average Monthly Regular Working Hours(hours),2010 DEC,183
Average Monthly Regular Working Hours(hours),2011 JAN,173.3
Average Monthly Regular Working Hours(hours),2011 FEB,131.1
Average Monthly Regular Working Hours(hours),2011 MAR,182.8
Average Monthly Regular Working Hours(hours),2011 APR,162.2
Average Monthly Regular Working Hours(hours),2011 MAY,175.5
Average Monthly Regular Working Hours(hours),2011 JUN,171.6
Average Monthly Regular Working Hours(hours),2011 JUL,173.1
Average Monthly Regular Working Hours(hours),2011 AUG,182.1
Average Monthly Regular Working Hours(hours),2011 SEP,170.8
Average Monthly Regular Working Hours(hours),2011 OCT,167.2
Average Monthly Regular Working Hours(hours),2011 NOV,175.8
Average Monthly Regular Working Hours(hours),2011 DEC,177.3
Average Monthly Regular Working Hours(hours),2012 JAN,145.1
Average Monthly Regular Working Hours(hours),2012 FEB,162.1
Average Monthly Regular Working Hours(hours),2012 MAR,180.1
Average Monthly Regular Working Hours(hours),2012 APR,165.6
Average Monthly Regular Working Hours(hours),2012 MAY,178.4
Average Monthly Regular Working Hours(hours),2012 JUN,169.7
Average Monthly Regular Working Hours(hours),2012 JUL,176.7
Average Monthly Regular Working Hours(hours),2012 AUG,178.4
Average Monthly Regular Working Hours(hours),2012 SEP,165.8
Average Monthly Regular Working Hours(hours),2012 OCT,176.5
Average Monthly Regular Working Hours(hours),2012 NOV,175.2
Average Monthly Regular Working Hours(hours),2012 DEC,171.2
Average Monthly Regular Working Hours(hours),2013 JAN,176.9
Average Monthly Regular Working Hours(hours),2013 FEB,128.1
Average Monthly Regular Working Hours(hours),2013 MAR,171.1
Average Monthly Regular Working Hours(hours),2013 APR,165.2
Average Monthly Regular Working Hours(hours),2013 MAY,177.4
Average Monthly Regular Working Hours(hours),2013 JUN,160.9
Average Monthly Regular Working Hours(hours),2013 JUL,180.9
Average Monthly Regular Working Hours(hours),2013 AUG,175.6
Average Monthly Regular Working Hours(hours),2013 SEP,163.5
Average Monthly Regular Working Hours(hours),2013 OCT,176.1
Average Monthly Regular Working Hours(hours),2013 NOV,170.9
Average Monthly Regular Working Hours(hours),2013 DEC,176.3
Average Monthly Regular Working Hours(hours),2014 JAN,163.7
Average Monthly Regular Working Hours(hours),2014 FEB,141.3
Average Monthly Regular Working Hours(hours),2014 MAR,170.8
Average Monthly Regular Working Hours(hours),2014 APR,169.5
Average Monthly Regular Working Hours(hours),2014 MAY,172.2
Average Monthly Regular Working Hours(hours),2014 JUN,164.5
Average Monthly Regular Working Hours(hours),2014 JUL,179.1
Average Monthly Regular Working Hours(hours),2014 AUG,172.3
Average Monthly Regular Working Hours(hours),2014 SEP,170.3
Average Monthly Regular Working Hours(hours),2014 OCT,176.7
Average Monthly Regular Working Hours(hours),2014 NOV,166.2
Average Monthly Regular Working Hours(hours),2014 DEC,184.1
Average Monthly Regular Working Hours(hours),2015 JAN,168.6
Average Monthly Regular Working Hours(hours),2015 FEB,129.1
Average Monthly Regular Working Hours(hours),2015 MAR,174.9
Average Monthly Regular Working Hours(hours),2015 APR,164
Average Monthly Regular Working Hours(hours),2015 MAY,165.5
Average Monthly Regular Working Hours(hours),2015 JUN,168.9
Average Monthly Regular Working Hours(hours),2015 JUL,178.6
Average Monthly Regular Working Hours(hours),2015 AUG,170.1
Average Monthly Regular Working Hours(hours),2015 SEP,165.6
Average Monthly Regular Working Hours(hours),2015 OCT,169.8
Average Monthly Regular Working Hours(hours),2015 NOV,168.8
Average Monthly Regular Working Hours(hours),2015 DEC,180
Average Monthly Regular Working Hours(hours),2016 JAN,165.9
Average Monthly Regular Working Hours(hours),2016 FEB,125.8
Average Monthly Regular Working Hours(hours),2016 MAR,178.2
Average Monthly Regular Working Hours(hours),2016 APR,153.9
Average Monthly Regular Working Hours(hours),2016 MAY,167.5
Average Monthly Regular Working Hours(hours),2016 JUN,164
Average Monthly Regular Working Hours(hours),2016 JUL,161.7
Average Monthly Regular Working Hours(hours),2016 AUG,176.9
Average Monthly Regular Working Hours(hours),2016 SEP,153.8
Average Monthly Regular Working Hours(hours),2016 OCT,150.9
Average Monthly Regular Working Hours(hours),2016 NOV,167.2
Average Monthly Regular Working Hours(hours),2016 DEC,167.3
Average Monthly Regular Working Hours(hours),2017 JAN,145.1
Average Monthly Regular Working Hours(hours),2017 FEB,141.4
Average Monthly Regular Working Hours(hours),2017 MAR,177.1
Average Monthly Regular Working Hours(hours),2017 APR,146
Average Monthly Regular Working Hours(hours),2017 MAY,160
Average Monthly Regular Working Hours(hours),2017 JUN,174.7
Average Monthly Regular Working Hours(hours),2017 JUL,163.1
Average Monthly Regular Working Hours(hours),2017 AUG,176
Average Monthly Regular Working Hours(hours),2017 SEP,168.4
Average Monthly Regular Working Hours(hours),2017 OCT,152.9
Average Monthly Regular Working Hours(hours),2017 NOV,169.6
Average Monthly Regular Working Hours(hours),2017 DEC,164
Average Monthly Regular Working Hours(hours),2018 JAN,170.6
Average Monthly Regular Working Hours(hours),2018 FEB,122.2
Average Monthly Regular Working Hours(hours),2018 MAR,174.9
Average Monthly Regular Working Hours(hours),2018 APR,145.5
Average Monthly Regular Working Hours(hours),2018 MAY,170.7
Average Monthly Regular Working Hours(hours),2018 JUN,157.3
Average Monthly Regular Working Hours(hours),2018 JUL,167.9
Average Monthly Regular Working Hours(hours),2018 AUG,173.5
Average Monthly Regular Working Hours(hours),2018 SEP,151.2
Average Monthly Regular Working Hours(hours),2018 OCT,169.3
Average Monthly Regular Working Hours(hours),2018 NOV,169.2
Average Monthly Regular Working Hours(hours),2018 DEC,163.4
Average Monthly Regular Working Hours(hours),2019 JAN,174.2
Average Monthly Regular Working Hours(hours),2019 FEB,121.6
Average Monthly Regular Working Hours(hours),2019 MAR,158.6
Average Monthly Regular Working Hours(hours),2019 APR,157.5
Average Monthly Regular Working Hours(hours),2019 MAY,170.5
Average Monthly Regular Working Hours(hours),2019 JUN,151.3
Average Monthly Regular Working Hours(hours),2019 JUL,175.4
Average Monthly Regular Working Hours(hours),2019 AUG,167.5
Average Monthly Regular Working Hours(hours),2019 SEP,155.5
Average Monthly Regular Working Hours(hours),2019 OCT,168.4
Average Monthly Regular Working Hours(hours),2019 NOV,163.5
Average Monthly Regular Working Hours(hours),2019 DEC,169.7
Average Monthly Regular Working Hours(hours),2020 JAN,137.6
Average Monthly Overtime(hours),1980 JAN,9.6
Average Monthly Overtime(hours),1980 FEB,7.7
Average Monthly Overtime(hours),1980 MAR,11.9
Average Monthly Overtime(hours),1980 APR,13.7
Average Monthly Overtime(hours),1980 MAY,14.2
Average Monthly Overtime(hours),1980 JUN,13.4
Average Monthly Overtime(hours),1980 JUL,12.7
Average Monthly Overtime(hours),1980 AUG,12.6
Average Monthly Overtime(hours),1980 SEP,12
Average Monthly Overtime(hours),1980 OCT,14
Average Monthly Overtime(hours),1980 NOV,13.1
Average Monthly Overtime(hours),1980 DEC,13.4
Average Monthly Overtime(hours),1981 JAN,11.5
Average Monthly Overtime(hours),1981 FEB,9.4
Average Monthly Overtime(hours),1981 MAR,11.1
Average Monthly Overtime(hours),1981 APR,11.5
Average Monthly Overtime(hours),1981 MAY,11.4
Average Monthly Overtime(hours),1981 JUN,11.2
Average Monthly Overtime(hours),1981 JUL,10.7
Average Monthly Overtime(hours),1981 AUG,10.6
Average Monthly Overtime(hours),1981 SEP,10.9
Average Monthly Overtime(hours),1981 OCT,10.8
Average Monthly Overtime(hours),1981 NOV,10.8
Average Monthly Overtime(hours),1981 DEC,10.7
Average Monthly Overtime(hours),1982 JAN,9.9
Average Monthly Overtime(hours),1982 FEB,10.1
Average Monthly Overtime(hours),1982 MAR,10.5
Average Monthly Overtime(hours),1982 APR,10.2
Average Monthly Overtime(hours),1982 MAY,10.2
Average Monthly Overtime(hours),1982 JUN,10.2
Average Monthly Overtime(hours),1982 JUL,9.9
Average Monthly Overtime(hours),1982 AUG,10.4
Average Monthly Overtime(hours),1982 SEP,10
Average Monthly Overtime(hours),1982 OCT,10.7
Average Monthly Overtime(hours),1982 NOV,10.5
Average Monthly Overtime(hours),1982 DEC,10.9
Average Monthly Overtime(hours),1983 JAN,9.8
Average Monthly Overtime(hours),1983 FEB,8.6
Average Monthly Overtime(hours),1983 MAR,10.9
Average Monthly Overtime(hours),1983 APR,10.5
Average Monthly Overtime(hours),1983 MAY,11.3
Average Monthly Overtime(hours),1983 JUN,11.3
Average Monthly Overtime(hours),1983 JUL,11.1
Average Monthly Overtime(hours),1983 AUG,11.2
Average Monthly Overtime(hours),1983 SEP,10.9
Average Monthly Overtime(hours),1983 OCT,11.7
Average Monthly Overtime(hours),1983 NOV,10.8
Average Monthly Overtime(hours),1983 DEC,11.3
Average Monthly Overtime(hours),1984 JAN,12.5
Average Monthly Overtime(hours),1984 FEB,11.2
Average Monthly Overtime(hours),1984 MAR,12.7
Average Monthly Overtime(hours),1984 APR,12.7
Average Monthly Overtime(hours),1984 MAY,13.1
Average Monthly Overtime(hours),1984 JUN,12.5
Average Monthly Overtime(hours),1984 JUL,11.8
Average Monthly Overtime(hours),1984 AUG,11.1
Average Monthly Overtime(hours),1984 SEP,10.8
Average Monthly Overtime(hours),1984 OCT,11.4
Average Monthly Overtime(hours),1984 NOV,10.8
Average Monthly Overtime(hours),1984 DEC,11.1
Average Monthly Overtime(hours),1985 JAN,10.5
Average Monthly Overtime(hours),1985 FEB,8.2
Average Monthly Overtime(hours),1985 MAR,9.6
Average Monthly Overtime(hours),1985 APR,10
Average Monthly Overtime(hours),1985 MAY,9.9
Average Monthly Overtime(hours),1985 JUN,9.9
Average Monthly Overtime(hours),1985 JUL,9.2
Average Monthly Overtime(hours),1985 AUG,8.7
Average Monthly Overtime(hours),1985 SEP,9.3
Average Monthly Overtime(hours),1985 OCT,9.8
Average Monthly Overtime(hours),1985 NOV,9.6
Average Monthly Overtime(hours),1985 DEC,10.2
Average Monthly Overtime(hours),1986 JAN,11.8
Average Monthly Overtime(hours),1986 FEB,9.5
Average Monthly Overtime(hours),1986 MAR,12.1
Average Monthly Overtime(hours),1986 APR,12.1
Average Monthly Overtime(hours),1986 MAY,12.5
Average Monthly Overtime(hours),1986 JUN,12.9
Average Monthly Overtime(hours),1986 JUL,11.8
Average Monthly Overtime(hours),1986 AUG,11.3
Average Monthly Overtime(hours),1986 SEP,11.6
Average Monthly Overtime(hours),1986 OCT,12.2
Average Monthly Overtime(hours),1986 NOV,12
Average Monthly Overtime(hours),1986 DEC,12.5
Average Monthly Overtime(hours),1987 JAN,12
Average Monthly Overtime(hours),1987 FEB,10.3
Average Monthly Overtime(hours),1987 MAR,12.2
Average Monthly Overtime(hours),1987 APR,12.1
Average Monthly Overtime(hours),1987 MAY,12
Average Monthly Overtime(hours),1987 JUN,11.7
Average Monthly Overtime(hours),1987 JUL,11.4
Average Monthly Overtime(hours),1987 AUG,11.4
Average Monthly Overtime(hours),1987 SEP,11.3
Average Monthly Overtime(hours),1987 OCT,12
Average Monthly Overtime(hours),1987 NOV,11.6
Average Monthly Overtime(hours),1987 DEC,11.5
Average Monthly Overtime(hours),1988 JAN,11.4
Average Monthly Overtime(hours),1988 FEB,8.8
Average Monthly Overtime(hours),1988 MAR,10.4
Average Monthly Overtime(hours),1988 APR,10.5
Average Monthly Overtime(hours),1988 MAY,10.4
Average Monthly Overtime(hours),1988 JUN,10.3
Average Monthly Overtime(hours),1988 JUL,10.3
Average Monthly Overtime(hours),1988 AUG,10.2
Average Monthly Overtime(hours),1988 SEP,10.3
Average Monthly Overtime(hours),1988 OCT,11
Average Monthly Overtime(hours),1988 NOV,10.9
Average Monthly Overtime(hours),1988 DEC,10.6
Average Monthly Overtime(hours),1989 JAN,10.3
Average Monthly Overtime(hours),1989 FEB,8.2
Average Monthly Overtime(hours),1989 MAR,10.1
Average Monthly Overtime(hours),1989 APR,10.4
Average Monthly Overtime(hours),1989 MAY,9.9
Average Monthly Overtime(hours),1989 JUN,9.9
Average Monthly Overtime(hours),1989 JUL,10.1
Average Monthly Overtime(hours),1989 AUG,10
Average Monthly Overtime(hours),1989 SEP,9.8
Average Monthly Overtime(hours),1989 OCT,10.4
Average Monthly Overtime(hours),1989 NOV,9.8
Average Monthly Overtime(hours),1989 DEC,9.6
Average Monthly Overtime(hours),1990 JAN,9
Average Monthly Overtime(hours),1990 FEB,8.3
Average Monthly Overtime(hours),1990 MAR,9.8
Average Monthly Overtime(hours),1990 APR,9.2
Average Monthly Overtime(hours),1990 MAY,9.2
Average Monthly Overtime(hours),1990 JUN,9.3
Average Monthly Overtime(hours),1990 JUL,9.9
Average Monthly Overtime(hours),1990 AUG,9.4
Average Monthly Overtime(hours),1990 SEP,9.7
Average Monthly Overtime(hours),1990 OCT,10.4
Average Monthly Overtime(hours),1990 NOV,9.7
Average Monthly Overtime(hours),1990 DEC,10
Average Monthly Overtime(hours),1991 JAN,9.6
Average Monthly Overtime(hours),1991 FEB,8
Average Monthly Overtime(hours),1991 MAR,9.2
Average Monthly Overtime(hours),1991 APR,10
Average Monthly Overtime(hours),1991 MAY,9.7
Average Monthly Overtime(hours),1991 JUN,9.8
Average Monthly Overtime(hours),1991 JUL,9.7
Average Monthly Overtime(hours),1991 AUG,9.4
Average Monthly Overtime(hours),1991 SEP,9.6
Average Monthly Overtime(hours),1991 OCT,10.2
Average Monthly Overtime(hours),1991 NOV,9.6
Average Monthly Overtime(hours),1991 DEC,9.9
Average Monthly Overtime(hours),1992 JAN,9.5
Average Monthly Overtime(hours),1992 FEB,7.9
Average Monthly Overtime(hours),1992 MAR,9.4
Average Monthly Overtime(hours),1992 APR,9.7
Average Monthly Overtime(hours),1992 MAY,9.7
Average Monthly Overtime(hours),1992 JUN,9.3
Average Monthly Overtime(hours),1992 JUL,9.2
Average Monthly Overtime(hours),1992 AUG,8.9
Average Monthly Overtime(hours),1992 SEP,8.9
Average Monthly Overtime(hours),1992 OCT,9.6
Average Monthly Overtime(hours),1992 NOV,9.5
Average Monthly Overtime(hours),1992 DEC,9.5
Average Monthly Overtime(hours),1993 JAN,8.4
Average Monthly Overtime(hours),1993 FEB,8.3
Average Monthly Overtime(hours),1993 MAR,8.7
Average Monthly Overtime(hours),1993 APR,9.3
Average Monthly Overtime(hours),1993 MAY,9.2
Average Monthly Overtime(hours),1993 JUN,8.9
Average Monthly Overtime(hours),1993 JUL,9.2
Average Monthly Overtime(hours),1993 AUG,9.3
Average Monthly Overtime(hours),1993 SEP,9.2
Average Monthly Overtime(hours),1993 OCT,9.9
Average Monthly Overtime(hours),1993 NOV,10.1
Average Monthly Overtime(hours),1993 DEC,10
Average Monthly Overtime(hours),1994 JAN,10.1
Average Monthly Overtime(hours),1994 FEB,8.2
Average Monthly Overtime(hours),1994 MAR,9.7
Average Monthly Overtime(hours),1994 APR,10.2
Average Monthly Overtime(hours),1994 MAY,10.2
Average Monthly Overtime(hours),1994 JUN,10
Average Monthly Overtime(hours),1994 JUL,10.3
Average Monthly Overtime(hours),1994 AUG,10.1
Average Monthly Overtime(hours),1994 SEP,10.4
Average Monthly Overtime(hours),1994 OCT,11.2
Average Monthly Overtime(hours),1994 NOV,10.8
Average Monthly Overtime(hours),1994 DEC,10.9
Average Monthly Overtime(hours),1995 JAN,10.7
Average Monthly Overtime(hours),1995 FEB,9.1
Average Monthly Overtime(hours),1995 MAR,10.2
Average Monthly Overtime(hours),1995 APR,10.4
Average Monthly Overtime(hours),1995 MAY,10.2
Average Monthly Overtime(hours),1995 JUN,9.7
Average Monthly Overtime(hours),1995 JUL,9.2
Average Monthly Overtime(hours),1995 AUG,8.8
Average Monthly Overtime(hours),1995 SEP,9
Average Monthly Overtime(hours),1995 OCT,10
Average Monthly Overtime(hours),1995 NOV,9.5
Average Monthly Overtime(hours),1995 DEC,9.6
Average Monthly Overtime(hours),1996 JAN,9.4
Average Monthly Overtime(hours),1996 FEB,7.8
Average Monthly Overtime(hours),1996 MAR,9.1
Average Monthly Overtime(hours),1996 APR,9.5
Average Monthly Overtime(hours),1996 MAY,9.4
Average Monthly Overtime(hours),1996 JUN,9.1
Average Monthly Overtime(hours),1996 JUL,9.2
Average Monthly Overtime(hours),1996 AUG,9.6
Average Monthly Overtime(hours),1996 SEP,9.7
Average Monthly Overtime(hours),1996 OCT,10.6
Average Monthly Overtime(hours),1996 NOV,10.3
Average Monthly Overtime(hours),1996 DEC,10.2
Average Monthly Overtime(hours),1997 JAN,10.3
Average Monthly Overtime(hours),1997 FEB,8.8
Average Monthly Overtime(hours),1997 MAR,10.4
Average Monthly Overtime(hours),1997 APR,10.4
Average Monthly Overtime(hours),1997 MAY,10.1
Average Monthly Overtime(hours),1997 JUN,9.7
Average Monthly Overtime(hours),1997 JUL,9.7
Average Monthly Overtime(hours),1997 AUG,9.7
Average Monthly Overtime(hours),1997 SEP,10.1
Average Monthly Overtime(hours),1997 OCT,10.9
Average Monthly Overtime(hours),1997 NOV,11
Average Monthly Overtime(hours),1997 DEC,10.5
Average Monthly Overtime(hours),1998 JAN,10.1
Average Monthly Overtime(hours),1998 FEB,9.3
Average Monthly Overtime(hours),1998 MAR,9.5
Average Monthly Overtime(hours),1998 APR,9.8
Average Monthly Overtime(hours),1998 MAY,9.9
Average Monthly Overtime(hours),1998 JUN,8.9
Average Monthly Overtime(hours),1998 JUL,8.3
Average Monthly Overtime(hours),1998 AUG,8.6
Average Monthly Overtime(hours),1998 SEP,8.8
Average Monthly Overtime(hours),1998 OCT,9.8
Average Monthly Overtime(hours),1998 NOV,9.6
Average Monthly Overtime(hours),1998 DEC,9.6
Average Monthly Overtime(hours),1999 JAN,9.6
Average Monthly Overtime(hours),1999 FEB,8.1
Average Monthly Overtime(hours),1999 MAR,9.5
Average Monthly Overtime(hours),1999 APR,10.1
Average Monthly Overtime(hours),1999 MAY,10.1
Average Monthly Overtime(hours),1999 JUN,10.2
Average Monthly Overtime(hours),1999 JUL,10
Average Monthly Overtime(hours),1999 AUG,9.8
Average Monthly Overtime(hours),1999 SEP,9.3
Average Monthly Overtime(hours),1999 OCT,10.2
Average Monthly Overtime(hours),1999 NOV,10.4
Average Monthly Overtime(hours),1999 DEC,10.3
Average Monthly Overtime(hours),2000 JAN,10.3
Average Monthly Overtime(hours),2000 FEB,8.9
Average Monthly Overtime(hours),2000 MAR,10.2
Average Monthly Overtime(hours),2000 APR,10.4
Average Monthly Overtime(hours),2000 MAY,10.2
Average Monthly Overtime(hours),2000 JUN,10.2
Average Monthly Overtime(hours),2000 JUL,9.9
Average Monthly Overtime(hours),2000 AUG,9.7
Average Monthly Overtime(hours),2000 SEP,9.9
Average Monthly Overtime(hours),2000 OCT,9.8
Average Monthly Overtime(hours),2000 NOV,9.6
Average Monthly Overtime(hours),2000 DEC,9.2
Average Monthly Overtime(hours),2001 JAN,8.8
Average Monthly Overtime(hours),2001 FEB,9.1
Average Monthly Overtime(hours),2001 MAR,9.3
Average Monthly Overtime(hours),2001 APR,9.6
Average Monthly Overtime(hours),2001 MAY,9
Average Monthly Overtime(hours),2001 JUN,8.7
Average Monthly Overtime(hours),2001 JUL,7.6
Average Monthly Overtime(hours),2001 AUG,7.6
Average Monthly Overtime(hours),2001 SEP,7.7
Average Monthly Overtime(hours),2001 OCT,8.8
Average Monthly Overtime(hours),2001 NOV,8.1
Average Monthly Overtime(hours),2001 DEC,8.3
Average Monthly Overtime(hours),2002 JAN,8.5
Average Monthly Overtime(hours),2002 FEB,7.7
Average Monthly Overtime(hours),2002 MAR,9.2
Average Monthly Overtime(hours),2002 APR,9.7
Average Monthly Overtime(hours),2002 MAY,9.6
Average Monthly Overtime(hours),2002 JUN,9.2
Average Monthly Overtime(hours),2002 JUL,8.7
Average Monthly Overtime(hours),2002 AUG,8.4
Average Monthly Overtime(hours),2002 SEP,8.6
Average Monthly Overtime(hours),2002 OCT,9.4
Average Monthly Overtime(hours),2002 NOV,9.1
Average Monthly Overtime(hours),2002 DEC,9.3
Average Monthly Overtime(hours),2003 JAN,9
Average Monthly Overtime(hours),2003 FEB,8.5
Average Monthly Overtime(hours),2003 MAR,9.3
Average Monthly Overtime(hours),2003 APR,9.1
Average Monthly Overtime(hours),2003 MAY,9
Average Monthly Overtime(hours),2003 JUN,8.6
Average Monthly Overtime(hours),2003 JUL,8.6
Average Monthly Overtime(hours),2003 AUG,8.9
Average Monthly Overtime(hours),2003 SEP,9.2
Average Monthly Overtime(hours),2003 OCT,9.9
Average Monthly Overtime(hours),2003 NOV,10
Average Monthly Overtime(hours),2003 DEC,10.2
Average Monthly Overtime(hours),2004 JAN,9.5
Average Monthly Overtime(hours),2004 FEB,9.7
Average Monthly Overtime(hours),2004 MAR,10.1
Average Monthly Overtime(hours),2004 APR,10.1
Average Monthly Overtime(hours),2004 MAY,10.3
Average Monthly Overtime(hours),2004 JUN,10.1
Average Monthly Overtime(hours),2004 JUL,9.8
Average Monthly Overtime(hours),2004 AUG,9.4
Average Monthly Overtime(hours),2004 SEP,10
Average Monthly Overtime(hours),2004 OCT,10.5
Average Monthly Overtime(hours),2004 NOV,10.2
Average Monthly Overtime(hours),2004 DEC,10
Average Monthly Overtime(hours),2005 JAN,10
Average Monthly Overtime(hours),2005 FEB,8.8
Average Monthly Overtime(hours),2005 MAR,9.9
Average Monthly Overtime(hours),2005 APR,10
Average Monthly Overtime(hours),2005 MAY,9.9
Average Monthly Overtime(hours),2005 JUN,9.5
Average Monthly Overtime(hours),2005 JUL,9
Average Monthly Overtime(hours),2005 AUG,9.1
Average Monthly Overtime(hours),2005 SEP,9.2
Average Monthly Overtime(hours),2005 OCT,9.8
Average Monthly Overtime(hours),2005 NOV,9.4
Average Monthly Overtime(hours),2005 DEC,9.7
Average Monthly Overtime(hours),2006 JAN,8.8
Average Monthly Overtime(hours),2006 FEB,8.9
Average Monthly Overtime(hours),2006 MAR,9.4
Average Monthly Overtime(hours),2006 APR,9.5
Average Monthly Overtime(hours),2006 MAY,9.4
Average Monthly Overtime(hours),2006 JUN,9.2
Average Monthly Overtime(hours),2006 JUL,9
Average Monthly Overtime(hours),2006 AUG,8.9
Average Monthly Overtime(hours),2006 SEP,8.8
Average Monthly Overtime(hours),2006 OCT,9.3
Average Monthly Overtime(hours),2006 NOV,8.9
Average Monthly Overtime(hours),2006 DEC,9.1
Average Monthly Overtime(hours),2007 JAN,9
Average Monthly Overtime(hours),2007 FEB,7.7
Average Monthly Overtime(hours),2007 MAR,9.2
Average Monthly Overtime(hours),2007 APR,9.1
Average Monthly Overtime(hours),2007 MAY,9.2
Average Monthly Overtime(hours),2007 JUN,9
Average Monthly Overtime(hours),2007 JUL,9
Average Monthly Overtime(hours),2007 AUG,8.9
Average Monthly Overtime(hours),2007 SEP,9.2
Average Monthly Overtime(hours),2007 OCT,9.8
Average Monthly Overtime(hours),2007 NOV,9.3
Average Monthly Overtime(hours),2007 DEC,9.2
Average Monthly Overtime(hours),2008 JAN,9.1
Average Monthly Overtime(hours),2008 FEB,8.1
Average Monthly Overtime(hours),2008 MAR,9.3
Average Monthly Overtime(hours),2008 APR,9.2
Average Monthly Overtime(hours),2008 MAY,9.1
Average Monthly Overtime(hours),2008 JUN,8.7
Average Monthly Overtime(hours),2008 JUL,8.7
Average Monthly Overtime(hours),2008 AUG,8.6
Average Monthly Overtime(hours),2008 SEP,8.2
Average Monthly Overtime(hours),2008 OCT,8
Average Monthly Overtime(hours),2008 NOV,6
Average Monthly Overtime(hours),2008 DEC,4.6
Average Monthly Overtime(hours),2009 JAN,4.2
Average Monthly Overtime(hours),2009 FEB,4.3
Average Monthly Overtime(hours),2009 MAR,4.8
Average Monthly Overtime(hours),2009 APR,5.3
Average Monthly Overtime(hours),2009 MAY,6
Average Monthly Overtime(hours),2009 JUN,5.9
Average Monthly Overtime(hours),2009 JUL,6.5
Average Monthly Overtime(hours),2009 AUG,7.2
Average Monthly Overtime(hours),2009 SEP,7.4
Average Monthly Overtime(hours),2009 OCT,7.8
Average Monthly Overtime(hours),2009 NOV,7.8
Average Monthly Overtime(hours),2009 DEC,8.2
Average Monthly Overtime(hours),2010 JAN,8.6
Average Monthly Overtime(hours),2010 FEB,7.4
Average Monthly Overtime(hours),2010 MAR,9.1
Average Monthly Overtime(hours),2010 APR,9.1
Average Monthly Overtime(hours),2010 MAY,9.3
Average Monthly Overtime(hours),2010 JUN,9.3
Average Monthly Overtime(hours),2010 JUL,9.2
Average Monthly Overtime(hours),2010 AUG,8.8
Average Monthly Overtime(hours),2010 SEP,8.7
Average Monthly Overtime(hours),2010 OCT,9.2
Average Monthly Overtime(hours),2010 NOV,8.8
Average Monthly Overtime(hours),2010 DEC,8.7
Average Monthly Overtime(hours),2011 JAN,8.8
Average Monthly Overtime(hours),2011 FEB,8.2
Average Monthly Overtime(hours),2011 MAR,9.2
Average Monthly Overtime(hours),2011 APR,9.2
Average Monthly Overtime(hours),2011 MAY,8.8
Average Monthly Overtime(hours),2011 JUN,8.6
Average Monthly Overtime(hours),2011 JUL,8.6
Average Monthly Overtime(hours),2011 AUG,8.3
Average Monthly Overtime(hours),2011 SEP,8.1
Average Monthly Overtime(hours),2011 OCT,8.1
Average Monthly Overtime(hours),2011 NOV,7.7
Average Monthly Overtime(hours),2011 DEC,7.8
Average Monthly Overtime(hours),2012 JAN,7.5
Average Monthly Overtime(hours),2012 FEB,7.7
Average Monthly Overtime(hours),2012 MAR,8.2
Average Monthly Overtime(hours),2012 APR,8.3
Average Monthly Overtime(hours),2012 MAY,8.4
Average Monthly Overtime(hours),2012 JUN,8.1
Average Monthly Overtime(hours),2012 JUL,8.1
Average Monthly Overtime(hours),2012 AUG,8
Average Monthly Overtime(hours),2012 SEP,8
Average Monthly Overtime(hours),2012 OCT,8.2
Average Monthly Overtime(hours),2012 NOV,7.8
Average Monthly Overtime(hours),2012 DEC,7.9
Average Monthly Overtime(hours),2013 JAN,8.1
Average Monthly Overtime(hours),2013 FEB,7.4
Average Monthly Overtime(hours),2013 MAR,8.4
Average Monthly Overtime(hours),2013 APR,8.7
Average Monthly Overtime(hours),2013 MAY,8.6
Average Monthly Overtime(hours),2013 JUN,8.6
Average Monthly Overtime(hours),2013 JUL,8.7
Average Monthly Overtime(hours),2013 AUG,8.6
Average Monthly Overtime(hours),2013 SEP,8.4
Average Monthly Overtime(hours),2013 OCT,8.8
Average Monthly Overtime(hours),2013 NOV,8.6
Average Monthly Overtime(hours),2013 DEC,8.7
Average Monthly Overtime(hours),2014 JAN,8.5
Average Monthly Overtime(hours),2014 FEB,7.8
Average Monthly Overtime(hours),2014 MAR,8.6
Average Monthly Overtime(hours),2014 APR,8.7
Average Monthly Overtime(hours),2014 MAY,8.8
Average Monthly Overtime(hours),2014 JUN,8.6
Average Monthly Overtime(hours),2014 JUL,8.7
Average Monthly Overtime(hours),2014 AUG,8.7
Average Monthly Overtime(hours),2014 SEP,8.6
Average Monthly Overtime(hours),2014 OCT,8.9
Average Monthly Overtime(hours),2014 NOV,8.7
Average Monthly Overtime(hours),2014 DEC,8.7
Average Monthly Overtime(hours),2015 JAN,8.9
Average Monthly Overtime(hours),2015 FEB,7.8
Average Monthly Overtime(hours),2015 MAR,8.8
Average Monthly Overtime(hours),2015 APR,8.8
Average Monthly Overtime(hours),2015 MAY,8.7
Average Monthly Overtime(hours),2015 JUN,8.4
Average Monthly Overtime(hours),2015 JUL,8.4
Average Monthly Overtime(hours),2015 AUG,8.2
Average Monthly Overtime(hours),2015 SEP,8
